DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW),DateTime_transformed
2024-01-01 06:30:00,1.0,0.0,1016.5444444444444,17.5,86.77777777777777,50.093333333333334,0.0022222222222222222,20240101063000
2024-01-01 06:40:00,1.0,0.0,1016.5889999999999,17.490000000000002,86.8,163.25,0.016,20240101064000
2024-01-01 06:50:00,1.0,0.0,1016.6600000000001,17.5,86.95,326.834,0.046,20240101065000
2024-01-01 07:00:00,1.0,0.0,1016.7299999999999,17.5,86.99,470.834,0.083,20240101070000
2024-01-01 07:10:00,1.0,0.0,1016.774,17.57,86.97,659.667,0.139,20240101071000
2024-01-01 07:20:00,1.0,0.6819300399999999,1016.9219999999999,17.630000000000003,86.17999999999999,889.6659999999999,0.24700000000000003,20240101072000
2024-01-01 07:30:00,1.0,0.6073700000000001,1016.992,17.740000000000002,85.41,1263.833,0.44699999999999995,20240101073000
2024-01-01 07:40:00,1.0,0.0,1017.094,17.9,85.41,2136.833,1.129,20240101074000
2024-01-01 07:50:00,1.0,0.0,1017.2700000000001,18.130000000000003,85.19,2598.001,1.597,20240101075000
2024-01-01 08:00:00,1.0,0.0,1017.4190000000001,18.29,84.38000000000001,2160.166,1.1800000000000002,20240101080000
2024-01-01 08:10:00,1.0,0.0,1017.4399999999999,18.3,83.78999999999999,2424.666,1.44,20240101081000
2024-01-01 08:20:00,1.0,0.0,1017.55,18.28,84.88,3204.5,2.369,20240101082000
2024-01-01 08:30:00,1.0,1.8334899999999998,1017.643,18.23,85.92,4376.418,4.183,20240101083000
2024-01-01 08:40:00,1.0,0.38300999999999996,1017.747,18.48,85.47999999999999,6681.334,9.765,20240101084000
2024-01-01 08:50:00,1.0,1.42532,1017.9119999999999,18.77,87.74,6693.834,11.859,20240101085000
2024-01-01 09:00:00,1.0,1.91588,1017.906,18.330000000000002,92.28999999999999,8395.25,17.368000000000002,20240101090000
2024-01-01 09:10:00,1.0,0.09,1017.9649999999999,18.02,97.37,7046.500999999999,12.612,20240101091000
2024-01-01 09:20:00,1.0,0.018,1018.1629999999999,17.73,99.92999999999999,5919.584,8.806999999999999,20240101092000
2024-01-01 09:30:00,1.0,0.018,1018.2050000000002,17.9,100.0,8838.918,17.564,20240101093000
2024-01-01 09:40:00,1.0,0.036,1018.131,18.080000000000002,100.0,5774.665,7.508,20240101094000
2024-01-01 09:50:00,1.0,0.024,1018.033,17.830000000000002,100.0,5437.75,7.032000000000001,20240101095000
2024-01-01 10:00:00,1.0,0.0,1018.043,17.75,100.0,9312.75,19.709,20240101100000
2024-01-01 10:10:00,1.0,0.036,1017.875,17.990000000000002,100.0,9500.664999999999,20.345999999999997,20240101101000
2024-01-01 10:20:00,1.0,0.024,1017.8149999999999,18.130000000000003,100.0,9711.583999999999,20.435,20240101102000
2024-01-01 10:30:00,1.0,0.012,1017.8209999999999,18.2,100.0,7952.500999999999,14.007,20240101103000
2024-01-01 10:40:00,1.0,0.576,1017.7130000000001,18.11,95.78999999999999,6422.501,9.333,20240101104000
2024-01-01 10:50:00,1.0,0.03,1017.5530000000001,18.21,93.92,7941.418,13.532999999999998,20240101105000
2024-01-01 11:00:00,1.0,0.198,1017.457,18.64,92.71000000000001,7700.916,13.197,20240101110000
2024-01-01 11:10:00,1.0,0.354,1017.2790000000001,18.78,87.1,6558.916,9.474,20240101111000
2024-01-01 11:20:00,1.0,0.246,1017.094,18.8,86.15,6868.249000000001,10.262,20240101112000
2024-01-01 11:30:00,1.0,0.16799999999999998,1016.866,18.939999999999998,84.1,8485.083,15.875,20240101113000
2024-01-01 11:40:00,1.0,0.06,1016.557,19.380000000000003,84.1,10389.833999999999,22.822,20240101114000
2024-01-01 11:50:00,1.0,0.15,1016.358,19.77,80.9,9784.75,20.508,20240101115000
2024-01-01 12:00:00,1.0,0.426,1016.1709999999999,19.869999999999997,80.09,11379.0,27.051,20240101120000
2024-01-01 12:10:00,1.0,0.974,1015.973,19.96,77.42,9266.167,18.217,20240101121000
2024-01-01 12:20:00,1.0,0.396,1015.823,19.81,78.0,9845.916000000001,20.456,20240101122000
2024-01-01 12:30:00,1.0,1.274,1015.673,20.04,76.07000000000001,16415.583000000002,55.607000000000006,20240101123000
2024-01-01 12:40:00,1.0,0.751,1015.509,20.35,74.86,13374.749,37.649,20240101124000
2024-01-01 12:50:00,1.0,1.3699999999999999,1015.4190000000001,20.29,74.1,10362.5,23.233,20240101125000
2024-01-01 13:00:00,1.0,0.391,1015.338,19.9,75.45,7872.249000000001,13.657,20240101130000
2024-01-01 13:10:00,1.0,0.144,1015.2729999999999,19.88,77.24,6294.5,8.642,20240101131000
2024-01-01 13:20:00,1.0,0.324,1015.0459999999999,19.67,76.37,6342.501,8.511,20240101132000
2024-01-01 13:30:00,1.0,0.041999999999999996,1014.999,19.490000000000002,77.68,5682.0,6.831,20240101133000
2024-01-01 13:40:00,1.0,0.11399999999999999,1014.9350000000001,19.31,78.28999999999999,4557.0830000000005,4.304,20240101134000
2024-01-01 13:50:00,1.0,0.0,1015.001,19.04,80.3,3202.0,2.369,20240101135000
2024-01-01 14:00:00,1.0,0.10800000000000001,1014.906,18.23,86.75,3045.083,2.151,20240101140000
2024-01-01 14:10:00,1.0,0.258,1014.926,17.869999999999997,89.61,3755.25,3.025,20240101141000
2024-01-01 14:20:00,1.0,0.036,1014.9130000000001,17.96,89.17999999999999,4500.3330000000005,4.3,20240101142000
2024-01-01 14:30:00,1.0,0.078,1014.7879999999999,18.2,88.3,4435.8330000000005,4.295,20240101143000
2024-01-01 14:40:00,1.0,0.018,1014.742,18.44,87.16,4597.3330000000005,4.648,20240101144000
2024-01-01 14:50:00,1.0,0.012,1014.665,18.71,85.76,4781.25,5.0280000000000005,20240101145000
2024-01-01 15:00:00,1.0,0.06599999999999999,1014.561,18.82,84.22999999999999,3589.832,2.979,20240101150000
2024-01-01 15:10:00,1.0,0.0,1014.5409999999999,18.7,84.72999999999999,3289.667,2.446,20240101151000
2024-01-01 15:20:00,1.0,0.13799999999999998,1014.592,18.580000000000002,85.6,2496.085,1.4929999999999999,20240101152000
2024-01-01 15:30:00,1.0,0.23399999999999999,1014.634,18.43,84.87,2351.249,1.33,20240101153000
2024-01-01 15:40:00,1.0,0.048,1014.771,18.4,84.3,2545.168,1.5210000000000001,20240101154000
2024-01-01 15:50:00,1.0,0.018,1014.9559999999999,18.29,86.6,2437.0,1.465,20240101155000
2024-01-01 16:00:00,1.0,0.0,1015.066,18.2,87.58,1810.666,0.861,20240101160000
2024-01-01 16:10:00,1.0,0.072,1015.1719999999999,17.98,89.35,1130.0,0.358,20240101161000
2024-01-01 16:20:00,1.0,0.078,1015.32,17.68,90.42,1000.582,0.28600000000000003,20240101162000
2024-01-01 16:30:00,1.0,0.0,1015.4710000000001,17.5,91.17999999999999,795.4159999999999,0.213,20240101163000
2024-01-01 16:40:00,1.0,0.024,1015.5840000000001,17.5,91.84,663.1659999999999,0.152,20240101164000
2024-01-01 16:50:00,1.0,0.156,1015.6879999999999,17.44,93.07000000000001,368.66700000000003,0.061,20240101165000
2024-01-01 17:00:00,1.0,0.072,1015.774,16.96,96.78999999999999,172.834,0.018,20240101170000
2024-01-01 17:10:00,1.0,0.072,1015.9159999999999,16.39,100.0,95.833,0.006,20240101171000
2024-01-01 17:20:00,1.0,0.045,1016.04125,16.2,100.0,37.8125,0.0025,20240101172000
2024-01-02 06:20:00,1.0,0.0,1014.5114285714286,12.614285714285714,100.0,100.23714285714286,0.015714285714285715,20240102062000
2024-01-02 06:30:00,1.0,0.0,1014.543,12.7,100.0,419.91700000000003,0.09,20240102063000
2024-01-02 06:40:00,1.0,0.0,1014.552,12.62,100.0,1164.334,0.475,20240102064000
2024-01-02 06:50:00,1.0,0.0,1014.6,12.65,100.0,2250.335,1.684,20240102065000
2024-01-02 07:00:00,1.0,0.0,1014.6510000000001,12.99,100.0,4352.5830000000005,8.296000000000001,20240102070000
2024-01-02 07:10:00,1.0,0.06599999999999999,1014.8100000000001,14.440000000000001,100.0,8052.6669999999995,35.989999999999995,20240102071000
2024-01-02 07:20:00,1.0,0.39,1014.8520000000001,15.55,100.0,8764.0,28.905,20240102072000
2024-01-02 07:30:00,1.0,0.11399999999999999,1014.924,16.240000000000002,100.0,15173.168,101.449,20240102073000
